Number,Name,Days,Time,Room,Instructor,Available,Description,General Ed,Distribution Req,Course Materials,Notes
AMST 112-01,Introduction to African American Literature,Days: M W F,Time: 01:10 pm-02:10 pm,Room:,Instructor: Daylanne English,Avail./Max.: 20 / 20,"An introduction to the study of an African American literary tradition. The focus or themes of the course, as well as authors and texts, will vary by semester and instructor, but all sections will emphasize the tradition's major genres, such as slave narratives and slam poetry, and its major movements, such as the Harlem Renaissance and Afrofuturism. The course will also provide instruction in the methods of literary analysis, including reading closely and writing text-based argument. Consult the detailed course description in the English department or on the registrar's web page for the content of individual sections.","['Writing WA', 'U.S. Identities and Differences']",['Humanities'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=AMST&course-1=112&section-1=01,*Cross-listed with ENGL 112-01*
AMST 194-01,The Obama Presidency,Days: M W F,Time: 10:50 am-11:50 am,Room:,Instructor: Duchess Harris,Avail./Max.: 16 / 16,Varies by semester. Consult the department or class schedule for current listing.,[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=AMST&course-1=194&section-1=01,*First-Year Course only; first day attendance required*
AMST 203-01,Politics and Inequality: The American Welfare State,Days: M W F,Time: 02:20 pm-03:20 pm,Room:,Instructor: Lesley Lavery,Avail./Max.: 25 / 25,"The readings and assignments in this course are designed to help students understand how social policies and programs contribute to Americans' lived experiences.Â  We will examine various theoretical justifications for the policies that constitute the American welfare state, then confront and dissect major strands of the American social safety net to better understand how political institutions and policy mechanisms contribute to both diversity and inequality in individuals' social, economic and political outcomes (based in race, class, gender, dis/ability, region, political jurisdiction, etc.).","['Writing WP', 'U.S. Identities and Differences']",['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=AMST&course-1=203&section-1=01,*Cross-listed with POLI 203-01*
AMST 225-01,American Indian History to 1871,Days:  T R,Time: 09:40 am-11:10 am,Room:,Instructor: Katrina Phillips,Avail./Max.: 20 / 20,"The history of American Indians is wonderfully complex, but this history is simultaneously fraught with misconceptions and misinterpretations. European (and, later, Euro-Americans) alternated among fascination, fear, and frustration toward American Indians, while American Indians sought to maintain tribal sovereignty and control over their lands, cultures, religions, politics, and lifestyles amidst continuing encroachment and settlement. This course examines American Indian history to 1871 - the year that Congress stopped making treaties with Native nations - by considering the complicated and multifaceted history of the nation's indigenous people. By looking at American Indian interactions with Spanish, French, British, and American explorers, settlers, missionaries, militaries, and government officials, this courses argues that the history of American Indians is essential to understanding past as well as present issues. Furthermore, this course looks to move beyond the notion that American Indian history is one of inevitable decline by creating a more nuanced understanding of the American Indian experience from pre-contact toward the twentieth century.","['Writing WA', 'U.S. Identities and Differences']",['Humanities'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=AMST&course-1=225&section-1=01,*Cross-listed with HIST 225-01*
AMST 240-01,"Race, Culture, and Ethnicity in Education",Days:  T R,Time: 09:40 am-11:10 am,Room:,Instructor: Jonathan Hamilton,Avail./Max.: 25 / 25,"This survey course will explore history, policy, and pedagogy as they relate to race, ethnicity, and culture as education. K-12 public education will be the primary focus with topics including desegregation, standardized testing, multi-cultural and ethnocentric pedagogy, the teacher's role and experience, and significant historical events in education. The course will culminate by analyzing current trends and future expectations in education.",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=AMST&course-1=240&section-1=01,*First day attendance required; cross-listed with EDUC 240*
AMST 244-01,Urban Latino Power,Days:  T R,Time: 01:20 pm-02:50 pm,Room:,Instructor: Paul Dosh,Avail./Max.: 20 / 20,"Comparative study of Latinx political struggles in the United States.  We will explore the themes of subordination and empowerment through issues such as anti-immigrant ballot initiatives in California, the election of Latino mayors in Denver and San Antonio, Cuban dominance in Miami politics, multiracial violence in Los Angeles, and battles over labor conditions, affirmative action, bi-lingual education, and racial profiling.  Student projects may involve field research among Latinx communities and organizations in the Twin Cities.","['Writing WA', 'U.S. Identities and Differences']",['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=AMST&course-1=244&section-1=01,*First day attendance required; cross-listed with LATI 244-01 and POLI 244-01*
AMST 270-01,Black Public Intellectuals,Days:   W,Time: 07:00 pm-10:00 pm,Room:,Instructor: Duchess Harris,Avail./Max.: 20 / 20,"This course will address the tradition of public intellectuals in numerous Black communities. We will expand the definition of ""politics"" to include theater, literature, and film. We will interrogate the concept of who chooses the scholarly leaders for Black communities. We will examine numerous topics such as Communism, The American Dream, Incarceration, Feminism, and Ebony Voices in the Ivory Tower.",['U.S. Identities and Differences'],['Humanities'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=AMST&course-1=270&section-1=01,
AMST 271-01,"Uses and Abuses: Drugs, Addiction and Recovery",Days: M,Time: 07:00 pm-10:00 pm,Room:,Instructor: Amy Sullivan,Avail./Max.: 20 / 20,"After a brief but essential global history of drugs, this course will focus primarily on the 20th century to the present. We will examine histories of substance use and abuse, temperance and prohibition, the ""War on Drugs,"" the shifting concept of addiction as a moral failing to addiction as a treatable disease, as well as study the history of the recovery movement and harm reduction. This course is not intended to be an exhaustive, comprehensive history of the subject-but it will provide you with a solid base from which to explore other aspects of this fascinating and contentious aspect of human history.",[],['Humanities'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=AMST&course-1=271&section-1=01,*Cross-listed with HIST 271-01*
AMST 294-01,"Radical Reelism: Indigeneity, Politics and Visual Culture",Days:  T R,Time: 03:00 pm-04:30 pm,Room:,Instructor: Kirisitina Sailiata,Avail./Max.: 16 / 16,Varies by semester. Consult the department or class schedule for current listing.,['U.S. Identities and Differences'],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=AMST&course-1=294&section-1=01,*Cross-listed with MCST 294-01*
AMST 294-02,James Baldwin and the Black Religious Imagination,Days:  T R,Time: 03:00 pm-04:30 pm,Room:,Instructor: William Hart,Avail./Max.: 16 / 16,Varies by semester. Consult the department or class schedule for current listing.,[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=AMST&course-1=294&section-1=02,*Cross-listed with RELI 294-04*
